 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
13640 ZTF20aapxajk AGN 58939.68164000008 59627.9556481 60398.73835649993 101 82 0.00144 5e-05 0.90154 94 62 0.00147 6e-05 0.86444
13644 ZTF20aaqbewp AGN 58875.95893519977 59628.87767359987 60390.96120369993 63 58 0.00102 6e-05 0.73569 88 58 0.00083 8e-05 0.60498
13662 ZTF20aarvujv AGN 58880.006020000204 59776.828229200095 60391.95797450002 131 104 0.00134 6e-05 0.84307 145 97 0.00102 6e-05 0.72557
13674 ZTF20aasiykz AGN 58911.98365740013 59628.95048609981 60398.82841440011 88 64 0.0022 0.0001 0.77623 53 65 0.00093 8e-05 0.5467
13677 ZTF20aasjndf AGN 58885.969949999824 59478.80247690016 60207.658669000026 170 112 0.00116 5e-05 0.70865 139 85 0.00114 7e-05 0.67859
13678 ZTF20aasjohn AGN 58885.95607999992 59230.017824099865 60205.6798843001 78 117 0.00063 3e-05 0.65109 73 184 0.00056 2e-05 0.60516
13697 ZTF20aattqoe AGN 58907.01928000013 59216.0729398001 60383.93148150016 36 143 0.0007 3e-05 0.59645 54 140 0.0006 3e-05 0.59118
13721 ZTF20aaurzyt SN 58939.6534500001 59124.954421299975 59346.68180559995 5 62 0.003 0.00018 0.8136 4 52 0.00316 0.00021 0.82625
13743 ZTF20aavdwlj AGN 58941.63756000018 59899.83972219983 60403.71651619999 66 71 0.00177 7e-05 0.7664 104 78 0.00175 9e-05 0.72616
13744 ZTF20aaveaul AGN 58940.69021000015 59269.81525459979 60397.7327083 37 94 0.00047 3e-05 0.74084 39 95 0.00036 3e-05 0.69933
13755 ZTF20aavldtg SN 58940.99787000008 59151.66228009993 59823.81528940005 47 62 0.00129 6e-05 0.58009 38 60 0.00152 5e-05 0.77826
